ID,s,symp,,,
1,Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,",,,
2,Allergy," continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,",,,
3,GERD," stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,",,,
4,Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,",,,
5,Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,",,,
6,Peptic ulcer diseae," vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,",,,
7,AIDS," patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,",,,
8,Diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,",,,
9,Gastroenteritis," vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,",,,
10,Bronchial Asthma," fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,",,,
11,Hypertension ," headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,",,,
12,Migraine," indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,",,,
13,Cervical spondylosis," weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,",,,
14,Paralysis (brain hemorrhage)," vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,",,,
15,Jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,",,,
16,Malaria," chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,",,,
17,Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,",,,
18,Dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,",,,
19,Typhoid," chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,",,,
20,hepatitis A," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,,,",,,
21,Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,,",,,
22,Hepatitis C," fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,,,,,,,,,",,,
23,Hepatitis D," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,",,,
24,Hepatitis E," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,,",,,
25,Alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,",,,
26,Tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm",,,
27,Common Cold," continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain",,,
28,Pneumonia," fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,",,,
29,Dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,",,,
30,Heart attack," breathlessness, sweating, chest_pain,vomiting,,,,,,,,,,,",,,
31,Varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,",,,
32,Hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,",,,
33,Hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,,,",,,
34,Osteoarthristis," joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,",,,
35,Arthritis," muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,",,,
36,(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,",,,
37,Acne," pus_filled_pimples, blackheads, scurring,,,,,,,,,,,",,,"skin_rush,scurring,,,,,,,,,,"
38,Urinary tract infection," burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,",,,
39,Psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,",,,
40,Impetigo," skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,",,,
41,Fungal infection," skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,",,,
42,GERD," acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,",,,
43,Drug Reaction," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,",,,
44,Peptic ulcer diseae," indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,",,,
45,AIDS," muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,",,,
46,Diabetes ," weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,",,,
47,Gastroenteritis," sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,",,,
